x,y
0.7392,-2.09426
0.74,-2.09594
0.7408,-2.09761
0.7416,-2.09929
0.7424,-2.10097
0.7432,-2.10265
0.744,-2.10434
0.7448,-2.10602
0.7456,-2.10771
0.7464,-2.10939
0.7472,-2.11108
0.748,-2.11277
0.7488,-2.11446
0.7496,-2.11615
0.7504,-2.11785
0.7512,-2.11954
0.752,-2.12124
0.7528,-2.12294
0.7536,-2.12463
0.7544,-2.12634
0.7552,-2.12804
0.756,-2.12974
0.7568,-2.13144
0.7576,-2.13315
0.7584,-2.13486
0.7592,-2.13657
0.76,-2.13828
0.7608,-2.13999
0.7616,-2.1417
0.7624,-2.14341
0.7632,-2.14513
0.764,-2.14685
0.7648,-2.14856
0.7656,-2.15028
0.7664,-2.15201
0.7672,-2.15373
0.768,-2.15545
0.7688,-2.15718
0.7696,-2.1589
0.7704,-2.16063
0.7712,-2.16236
0.772,-2.16409
0.7728,-2.16582
0.7736,-2.16756
0.7744,-2.16929
0.7752,-2.17103
0.776,-2.17276
0.7768,-2.1745
0.7776,-2.17624
0.7784,-2.17798
0.7792,-2.17973
0.78,-2.18147
0.7808,-2.18322
0.7816,-2.18497
0.7824,-2.18671
0.7832,-2.18846
0.784,-2.19022
0.7848,-2.19197
0.7856,-2.19372
0.7864,-2.19548
0.7872,-2.19724
0.788,-2.19899
0.7888,-2.20075
0.7896,-2.20252
0.7904,-2.20428
0.7912,-2.20604
0.792,-2.20781
0.7928,-2.20957
0.7936,-2.21134
0.7944,-2.21311
0.7952,-2.21488
0.796,-2.21666
0.7968,-2.21843
0.7976,-2.22021
0.7984,-2.22198
0.7992,-2.22376
0.8,-2.22554
0.8008,-2.22732
0.8016,-2.2291
0.8024,-2.23089
0.8032,-2.23267
0.804,-2.23446
0.8048,-2.23625
0.8056,-2.23804
0.8064,-2.23983
0.8072,-2.24162
0.808,-2.24342
0.8088,-2.24521
0.8096,-2.24701
0.8104,-2.24881
0.8112,-2.25061
0.812,-2.25241
0.8128,-2.25421
0.8136,-2.25602
0.8144,-2.25782
0.8152,-2.25963
0.816,-2.26144
0.8168,-2.26325
0.8176,-2.26506
0.8184,-2.26687
0.8192,-2.26868
0.82,-2.2705
0.8208,-2.27232
0.8216,-2.27414
0.8224,-2.27596
0.8232,-2.27778
0.824,-2.2796
